iter	Logloss
0	0.6872560278
1	0.6814175186
2	0.6765365677
3	0.6711156465
4	0.6653296849
5	0.6600870796
6	0.6542560835
7	0.6488653462
8	0.6444172538
9	0.6390484776
10	0.6339423418
11	0.6288830363
12	0.6259769224
13	0.6207094913
14	0.6160973757
15	0.6109994294
16	0.6067594372
17	0.6027793146
18	0.5986367189
19	0.5943505475
20	0.5905313276
21	0.5867979387
22	0.5832735922
23	0.5794384283
24	0.5757174534
25	0.5726595463
26	0.5694230684
27	0.5665058408
28	0.5637883355
29	0.5605772423
30	0.5573308295
31	0.5542384417
32	0.5510160573
33	0.5483316351
34	0.5453976766
35	0.5424470044
36	0.5406020575
37	0.5375284977
38	0.53503489
39	0.5323306135
40	0.529343211
41	0.5267508228
42	0.5239987184
43	0.5220391064
44	0.5193609013
45	0.5170056528
46	0.5143572738
47	0.5125155299
48	0.5104031635
49	0.5080164848
50	0.5057273418
51	0.5033361982
52	0.5020515483
53	0.4995720886
54	0.4974179467
55	0.4953943635
56	0.4943003451
57	0.4919369145
58	0.4909821655
59	0.4894954729
60	0.4877146966
61	0.4858072951
62	0.4838468725
63	0.4822947393
64	0.4809156304
65	0.4789444259
66	0.4770400311
67	0.4754300204
68	0.473592694
69	0.4718546188
70	0.4700139611
71	0.4684526917
72	0.4668422351
73	0.4655704787
74	0.4642945386
75	0.4631017218
76	0.4616051969
77	0.4599788372
78	0.4584397723
79	0.4568433217
80	0.4553389927
81	0.4538689423
82	0.4523384841
83	0.45099167
84	0.4499664815
85	0.4486139885
86	0.4473355373
87	0.4463414807
88	0.4450237694
89	0.444090931
90	0.4433322256
91	0.4425035057
92	0.4412038177
93	0.439824184
94	0.4387323732
95	0.437835763
96	0.4368741089
97	0.4359330513
98	0.435120347
99	0.4344515973
100	0.4336592821
101	0.4325519617
102	0.431664979
103	0.4307452659
104	0.4303523123
105	0.4297397936
106	0.4291751759
107	0.4281130185
108	0.4271965829
109	0.426346612
110	0.4254639384
111	0.4250216147
112	0.4242050488
113	0.4234355858
114	0.4225439015
115	0.4216939507
116	0.4211290965
117	0.4201380049
118	0.4195132696
119	0.4192714165
120	0.4185887608
121	0.4181052427
122	0.4174409899
123	0.4168775578
124	0.4161410866
125	0.4153632576
126	0.4146192757
127	0.4139200971
128	0.4130927164
129	0.4124042851
130	0.4120549306
131	0.4115300471
132	0.4110322598
133	0.4103857662
134	0.409879961
135	0.4092600512
136	0.4084984425
137	0.408012936
138	0.407571343
139	0.4068652195
